name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
Fp2	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
F3	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
F4	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
C3	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
C4	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
P3	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
P4	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
O1	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
O2	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
F7	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
F8	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
T7	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
T8	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
P7	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
P8	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
Fz	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
Cz	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
Pz	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
FC1	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
FC2	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
CP1	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
CP2	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
FC5	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
FC6	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
CP5	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
CP6	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
FT9	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
FT10	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
TP9	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
TP10	EEG	µV	1.0	64.0	ElectroEncephaloGram	250.0	good	n/a
ECG	ECG	µV	1.0	64.0	ElectroCardioGram	250.0	good	n/a
R_EYE	EOG	µV	1.0	64.0	ElectroOculoGram	250.0	good	n/a
L_EYE	EOG	µV	1.0	64.0	ElectroOculoGram	250.0	good	n/a
AUDIO	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
PHOTO	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
GSR	GSR	µV	1.0	64.0	Galvanic skin response (electrodermal activity, EDA)	250.0	good	n/a
RESP	RESP	µV	1.0	64.0	Respiration	250.0	good	n/a
X	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
Y	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
Z	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
triggerStream	TRIG	µV	1.0	64.0	Trigger	250.0	good	n/a
joystick_x	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
joystick_y	MISC	µV	1.0	64.0	Miscellaneous	250.0	good	n/a
