respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,ID PARTICIPANTE,Demandas Mentales - ¿Qué tan mentalmente fatigante fue la tarea?,Demandas Físicas - ¿Qué tan físicamente fatigante fue la tarea?,Demandas Temporales - ¿Qué tan apresurado/a o apurado/a te sentiste durante la tarea?,"Frustración - ¿Qué tan inseguro, desanimado, irritado, estresado o molesto te sentiste?",Complejidad de la Tarea - ¿Qué tan compleja fue la tarea?,Estrés Situacional - ¿Qué tan estresado/a te sentiste mientras realizabas la tarea?,Distracciones - ¿Qué tan distractor fue el entorno de la tarea?,Tensión Perceptual - ¿Qué tan incómodos o irritantes fueron los aspectos visuales y auditivos de la tarea?,Control de la Tarea - ¿Qué tan difícil fue controlar o navegar la tarea?,Disfruté mucho este experimento,Creo que soy bastante bueno/a en hacer las actividades del experimento,Puse mucho esfuerzo en este experimento,Era importante para mí hacerlo bien este experimento,Me sentí tenso/a mientras realizaba el experimento,Me esforcé mucho mientras realizaba este experimento,Realizar este experimento fue divertido,Describiría este experimento como muy interesante,Estoy satisfecho con mi desempeño en este experimento,Me sentí presionado mientras realizaba este experimento,Estaba ansioso/a mientras realizaba este experimento,No me esforcé mucho en realizar este experimento,"Mientras realizaba este experimento, pensaba en cuánto lo disfrutaba","Después de realizar este experimento por un tiempo, me sentí bastante competente",Estaba muy relajado mientras realizaba este experimento,Soy bastante hábil en realizar las actividades de este experimento,Este experimento no captó mi atención,No pude realizar bien este experimento,"En el mundo virtual tuve una sensación de ""estar ahí""","¿Qué tan consciente estabas del mundo real que te rodeaba mientras navegabas en el mundo virtual? (es decir, sonidos...)",No estaba consciente de mi entorno real,Aún presté atención al entorno real,Estaba completamente cautivado/a por el mundo virtual,¿Qué tan real te pareció el mundo virtual?,¿Qué tan consistente te pareció tu experiencia en el entorno virtual con tu experiencia en el mundo real?,¿Qué tan real te pareció el mundo virtual?,El mundo virtual parecía más realista que el mundo real,De alguna manera sentí que el mundo virtual me rodeaba,Sentí como si solo estuviera percibiendo imágenes,No me sentí presente en el espacio virtual,Tenía la sensación de actuar en el espacio virtual en lugar de operar algo desde afuera,Me sentí presente en el espacio virtual,Indica en cuánto te afecta cada uno de los siguientes síntomas en este momento,,,,,,,,,,,,,,,,"Pensando en todo el experimento, en una escala del 1 al 9 (1 = sin confianza, 9 = máxima confianza), ¿cuánta confianza tenés en que tu reporte en tiempo real con el joystick describiera con precisión tu experiencia emocional?","Pensando en todo el experimento, en una escala del 1 al 9 (1 = sin confianza, 9 = máxima confianza), ¿cuánta confianza tenés en que tu narración cronológica describiera con precisión tu experiencia emocional?","Pensando en todo el experimento, en una escala del 1 al 9 (1 = sin confianza, 9 = máxima confianza), ¿cuánta confianza tenés en que tus calificaciones verbales (escalas) describieran con precisión tu experiencia emocional?","En tu opinión honesta, ¿deberíamos usar tus datos del experimento en nuestros análisis para este estudio? (si eligis «No, respondí de forma descuidada y/o sin darle importancia» no habrá sanciones ni repercusiones)?","Para terminar, nos gustaría conocer tu opinión sobre tu experiencia durante el experimento. Por favor, compartí cualquier comentario que consideres relevante sobre tu experiencia durante el estudio. ¡Tu feedback nos sirve un montón!"
,,,,,,,,,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Malestar general,Cansancio,Dolor de cabeza,Vista cansada,Dificultad para enfocar,Aumento de salivación,Sudoración,Náusea,Dificultad para concentrarse,Pesadez de cabeza,Visión borrosa,Mareo con ojos abiertos,Mareo con ojos cerrados,Vértigo,Estómago revuelto,Eructo,Open-Ended Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response
114860721179,434532946,05/15/2025 07:17:30 PM,05/15/2025 07:28:08 PM,181.117.14.231,,,,,18,5,6,6,14,3,10,0,8,1,Totalmente de acuerdo,4,6,Totalmente de acuerdo,5,5,Totalmente de acuerdo,Totalmente de acuerdo,6,2,Totalmente de acuerdo,4,4,5,Totalmente en desacuerdo,4,Totalmente en desacuerdo,Totalmente en desacuerdo,4,Nada consciente,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,2,3,3,2,4,Totalmente en desacuerdo,Me sentí presente,4,Totalmente de acuerdo,Leve,Moderado,Moderado,Moderado,Ausente,Leve,Leve,Leve,Ausente,Moderado,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,100,69,100,SÍ,"La verdad, me pareció una experiencia súper interesante. Me llamó mucho la atención cómo los videos lograban generar emociones tan diferentes en tan poco tiempo. Algunos me dieron miedo de verdad, otros me relajaron, algunos me enojaron o me pusieron triste, y otros me hicieron sentir una alegría medio extraña pero linda. También hubo momentos en los que me sentí un poco incómoda, pero entiendo que eso es parte de lo que buscaban con el experimento.  Más allá de eso, todo estuvo muy bien explicado y fue bastante llevadero. No se me hizo pesado ni complicado, y eso ayudó a que pudiera concentrarme en lo que iba sintiendo. Me gustó que fuera dinámico, se pasó rápido y me mantuvo atenta todo el tiempo."
114859366487,434532946,05/14/2025 09:07:35 AM,05/14/2025 09:18:04 AM,186.137.149.144,,,,,17A,16,13,4,20,12,13,4,12,12,5,5,6,Totalmente de acuerdo,5,5,5,6,6,Totalmente en desacuerdo,2,Totalmente en desacuerdo,3,5,5,5,2,Totalmente en desacuerdo,2,2,3,2,4,4,2,2,Totalmente en desacuerdo,2,2,2,2,4,Ausente,Leve,Leve,Moderado,Ausente,Ausente,Ausente,Ausente,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,76,68,84,SÍ,"estuvo interesante!! la parte mas dificil para mi fue la de mirar la cruz del blanca, fue lo mas agotador del experimento, mas alla de eso fue estimulante. siento que al no poder mover mucho la cabeza no se aprovecha del todo el recurso de la realidad virtual"
114858791287,434532946,05/13/2025 02:50:40 PM,05/13/2025 03:04:08 PM,181.231.35.108,,,,,16,8,3,0,2,5,5,0,0,3,6,4,5,6,5,5,Totalmente de acuerdo,Totalmente de acuerdo,6,4,Totalmente en desacuerdo,2,4,5,4,3,Totalmente en desacuerdo,2,3,4,4,Totalmente en desacuerdo,4,3,Muy consistente,2,Totalmente en desacuerdo,4,2,4,3,4,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,75,70,81,SÍ,"Me parece importante résultat antes de comenzar que es normal no experimentar emociones y que aunque la tarea sea registrar algo, si no sienten nada esta bien. Hacer una prueba antes con los ojos cerrados sin ver el joystick y ir diciendo que valencia creen estar regustrando y que los evaluadores comprueben si coïncide lo que el sujeto crée con lo que realmente indica en joystick. El resto muy divertido "
114858778557,434532946,05/13/2025 02:36:27 PM,05/13/2025 02:36:35 PM,181.44.129.85,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114849326002,434532946,04/29/2025 06:48:06 PM,04/29/2025 06:55:22 PM,157.92.6.20,,,,,12,13,6,11,11,5,12,4,16,4,4,5,4,6,2,5,5,5,6,2,2,2,3,5,4,5,Totalmente en desacuerdo,Totalmente en desacuerdo,4,4,4,2,4,2,2,2,Totalmente en desacuerdo,4,3,4,3,4,Ausente,Moderado,Ausente,Moderado,Ausente,Ausente,Ausente,Ausente,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,79,76,54,SÍ,"Me gusto mucho el experimento, lo considero muy interesante. en algunos casos se sentia muy fuerte el volumen y eso molestaba mucho, pero todo el resto muy bien"
114788622413,434532946,02/03/2025 04:54:57 PM,04/15/2025 07:15:07 PM,157.92.18.15,,,,,15,14,4,13,10,0,0,0,0,0,6,3,Totalmente de acuerdo,Totalmente de acuerdo,3,6,5,Totalmente de acuerdo,5,3,4,Totalmente en desacuerdo,3,5,6,4,2,3,2,Nada consciente,Totalmente de acuerdo,2,3,4,3,3,Totalmente en desacuerdo,Totalmente de acuerdo,4,4,4,4,Ausente,Moderado,Ausente,Leve,Leve,Ausente,Ausente,Ausente,Moderado,Leve,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,75,10,21,SÍ,"Las consignas se entendieron, fue claro y conciso. "
114835123164,434532946,04/08/2025 07:36:32 PM,04/08/2025 07:47:04 PM,186.157.108.113,,,,,14,5,2,2,5,10,11,9,7,2,5,5,4,6,5,4,5,5,5,Totalmente en desacuerdo,Totalmente de acuerdo,2,5,6,Totalmente en desacuerdo,3,Totalmente en desacuerdo,3,4,4,4,2,4,4,3,2,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Me sentí presente,4,4,Leve,Leve,Ausente,Leve,Ausente,Leve,Leve,Ausente,Ausente,Leve,Ausente,Ausente,Leve,Ausente,Ausente,Leve,70,90,30,SÍ,"Tremendo laburo loco , algunos videos no lograban generarme emociones capaz algun form sobre temas de interés para poder jugar con sus emociones de manera más precisa (debe ser un quilombo conseguir los videos así que no me den bola)dsp toda la experiencia un espectáculo abrazo"
114825547466,434532946,03/25/2025 07:35:46 PM,03/25/2025 07:49:44 PM,157.92.18.15,,,,,13,18,17,3,13,8,9,3,17,6,5,4,5,5,5,5,6,6,3,2,2,2,2,2,3,2,Totalmente en desacuerdo,5,2,4,2,3,4,2,4,3,Totalmente en desacuerdo,3,2,3,3,4,Moderado,Moderado,Grave,Leve,Leve,Ausente,Ausente,Moderado,Moderado,Grave,Leve,Moderado,Moderado,Leve,Moderado,Ausente,13,41,44,SÍ,"Fue una experiencia cansadora, por momentos incomoda, pero interesante. "
114821750482,434532946,03/20/2025 12:32:24 PM,03/20/2025 12:40:18 PM,157.92.18.15,,,,,12,4,7,3,2,1,6,1,7,1,5,5,3,6,2,4,5,5,6,Totalmente en desacuerdo,3,4,2,5,4,5,Totalmente en desacuerdo,Totalmente en desacuerdo,Mucho,4,4,2,4,2,4,4,Totalmente en desacuerdo,4,Totalmente en desacuerdo,2,3,4,Ausente,Leve,Ausente,Leve,Ausente,Ausente,Ausente,Ausente,Ausente,Moderado,Ausente,Ausente,Ausente,Ausente,Ausente,Ausente,85,73,90,SÍ,"Me gustó la variedad de los videos y todas las emociones que generaban. Regularia en algunos el sonido, por ejemplo en el de carerra de f1 el sonido era demasiado fuerte y molesto"
