Subject,Acq,Dimension,TestVideo,TrainSize,TestSize,Alpha,PCA_Explained_Variance,RMSE,Correlation
27,a,luminance,lum_006_4,1845,615,1.0,0.8127404480057188,0.1933146307934341,-0.03580915254281757
27,a,luminance,lum_002_3,1845,615,1.0,0.8079074867313056,0.46749576231564677,-0.1150195881810811
27,a,luminance,lum_004_4,1845,615,1.0,0.8099281440331715,0.6804117071909397,-0.13874364476669054
27,a,luminance,lum_003_3,1845,615,1.0,0.8103365550550147,0.4705669550721055,-0.2712223765638719
27,a,arousal,1.0,8358,1063,1.0,0.7818027273477699,0.12572624524781406,0.11425325528054417
27,a,arousal,4.0,8805,616,1.0,0.7946881616800736,0.6064345452823323,-0.3564493793250533
27,a,arousal,5.0,8587,834,1.0,0.7851409008108254,0.10994344995950724,-0.17903137108128864
27,a,arousal,7.0,7754,1667,1.0,0.7985997447686015,0.48360526881506244,0.27210830874039915
27,a,arousal,8.0,8629,792,1.0,0.7936471874494885,0.162626227024525,0.5609784047044262
27,a,arousal,9.0,7827,1594,1.0,0.801143877002804,0.1295126727853312,0.03646217494575816
27,a,arousal,10.0,7629,1792,1.0,0.7857860418574489,0.1902421161544591,-0.2784535609793541
27,a,arousal,11.0,8358,1063,1.0,0.7928941591386444,0.2761266824122756,-0.6724528516191397
27,a,valence,2.0,6712,2376,1.0,0.7393269769543024,0.25985932652741056,0.1084014745322116
27,a,valence,3.0,8119,969,1.0,0.7395108290597278,0.6281901291452886,0.1003475299531432
27,a,valence,6.0,7410,1678,1.0,0.7315021539013382,0.666115224370807,-0.09486641739473253
27,a,valence,12.0,8462,626,1.0,0.7374070853503905,0.5602900444479384,0.02467469292595112
27,a,valence,13.0,6848,2240,1.0,0.7350774487411463,0.8242151855769335,-0.19125786923171367
27,a,valence,14.0,7889,1199,1.0,0.7368786544977598,0.812474391876065,-0.34014218549570463
