Subject,Acq,Dimension,TestVideo,TrainSize,TestSize,UpRate_Train,UpRate_Test,Accuracy,BalancedAccuracy,AUC
27,a,valence,12.0_a,3787,208,0.5009242144177449,0.49038461538461536,0.5048076923076923,0.503607103218646,0.5617832038475767
27,b,valence,10.0_b,3744,251,0.5021367521367521,0.47410358565737054,0.4342629482071713,0.43439648586707413,0.4452508276037688
27,b,valence,11.0_b,3968,27,0.5037802419354839,0.0,0.4074074074074074,0.4074074074074074,
27,a,valence,2.0_a,3128,867,0.4936061381074169,0.52479815455594,0.544405997693195,0.5449455883921903,0.5913101461645152
27,b,valence,1.0_b,3787,208,0.49801954053340375,0.5432692307692307,0.6346153846153846,0.6435957149510945,0.6714485328365161
27,a,valence,6.0_a,3426,569,0.5110916520723876,0.4358523725834798,0.492091388400703,0.4884056878705657,0.5354361370716512
27,a,valence,14.0_a,3429,566,0.4881889763779528,0.5742049469964664,0.5565371024734982,0.5248324289818066,0.5431088413661028
27,b,valence,5.0_b,3896,99,0.5007700205338809,0.48484848484848486,0.43434343434343436,0.42830882352941174,0.3214869281045752
27,a,valence,3.0_a,3592,403,0.5094654788418709,0.41935483870967744,0.5186104218362283,0.5599934253780408,0.5929803267081374
27,a,valence,13.0_a,3198,797,0.4937460913070669,0.5269761606022585,0.588456712672522,0.5922792724516863,0.6407603890362512
27,a,luminance,lum_006_4_a,1549,105,0.5087153001936734,0.6571428571428571,0.3619047619047619,0.3285024154589372,0.29911433172302737
27,a,luminance,lum_003_3_a,1417,237,0.5081157374735357,0.5780590717299579,0.5907172995780591,0.6108759124087592,0.6672262773722627
27,b,luminance,lum_007_3_b,1253,401,0.5275339185953711,0.48877805486284287,0.543640897755611,0.5446988551518168,0.5371577899452464
27,b,luminance,lum_009_3_b,1426,228,0.514726507713885,0.5394736842105263,0.543859649122807,0.5507549361207897,0.594734804490902
27,a,luminance,lum_004_4_a,1460,194,0.5260273972602739,0.4587628865979381,0.4329896907216495,0.45050829320492236,0.436490101658641
27,a,luminance,lum_002_3_a,1256,398,0.5342356687898089,0.46733668341708545,0.535175879396985,0.5386234530330696,0.5177774396429295
27,b,luminance,lum_010_4_b,1563,91,0.5118362124120281,0.6263736263736264,0.42857142857142855,0.4251805985552115,0.5288957688338493
27,a,arousal,7.0_a,3499,582,0.496141754787082,0.5463917525773195,0.5034364261168385,0.5066823899371069,0.5059915189632171
27,a,arousal,1.0_a,3900,181,0.49435897435897436,0.6961325966850829,0.7016574585635359,0.7703463203463203,0.870995670995671
27,a,arousal,4.0_a,3937,144,0.5130810261620523,0.2361111111111111,0.4930555555555556,0.5157754010695187,0.5109625668449198
27,a,arousal,9.0_a,3596,485,0.5038932146829811,0.49896907216494846,0.5855670103092784,0.5859266061286263,0.5761656973778186
27,b,arousal,6.0_b,3831,250,0.5123988514748108,0.364,0.364,0.45770267468380677,0.43223443223443225
27,a,arousal,10.0_a,3490,591,0.5160458452722063,0.428087986463621,0.5786802030456852,0.5839453188951517,0.6322239633276423
27,b,arousal,13.0_b,3868,213,0.5038779731127198,0.49295774647887325,0.4694835680751174,0.46865079365079365,0.4634038800705467
27,a,arousal,8.0_a,3791,290,0.5022421524663677,0.5172413793103449,0.4068965517241379,0.4066666666666667,0.38604761904761903
27,b,arousal,3.0_b,3774,307,0.5095389507154213,0.42671009771986973,0.5830618892508144,0.5729311242192922,0.6056557945870923
27,b,arousal,2.0_b,3587,494,0.48396989127404516,0.6437246963562753,0.4777327935222672,0.4915844768439108,0.48032804459691253
27,a,arousal,5.0_a,3948,133,0.4997467071935157,0.6090225563909775,0.47368421052631576,0.4956077872744539,0.5315764482431149
27,b,arousal,12.0_b,3999,82,0.5038759689922481,0.47560975609756095,0.5487804878048781,0.537567084078712,0.507453786523554
27,a,arousal,11.0_a,3827,254,0.4996080480794356,0.5590551181102362,0.4881889763779528,0.48472082494969815,0.4782444668008048
27,b,arousal,14.0_b,4006,75,0.5067398901647528,0.32,0.5733333333333334,0.5649509803921569,0.613562091503268
