Dimension,TestVideo,TrainSize,TestSize,RMSE,Correlation
arousal,5.0_a,17677,834,0.13171997647863914,0.42042038584187735
arousal,8.0_a,17719,792,0.1813907137964415,0.5240473718778423
arousal,11.0_a,17448,1063,0.2095374225611202,-0.6178544139102875
arousal,9.0_a,16917,1594,0.09913472306140154,-0.008946609838991343
arousal,1.0_a,17448,1063,0.14681015218425936,0.08195050094498062
arousal,2.0_b,16135,2376,0.23943605527961712,0.09466149490712247
arousal,3.0_b,17541,970,0.14011629919105725,-0.10619872178173337
arousal,7.0_a,16844,1667,0.5068212694431165,0.07239711550214946
arousal,12.0_b,17885,626,0.12098942000964674,-0.03834687838388953
arousal,14.0_b,17312,1199,0.2514095954987145,-0.6704817663161854
arousal,4.0_a,17895,616,0.5019653558310542,-0.19571087834976683
arousal,6.0_b,16833,1678,0.5597826344608205,0.1518152394226464
arousal,10.0_a,16719,1792,0.18279909593622812,-0.18365009753402572
arousal,13.0_b,16270,2241,0.24134770628519367,-0.07227683108349789
valence,12.0_a,13214,626,0.5068484323800666,0.0625846307786248
valence,2.0_a,11464,2376,0.2958144127618769,0.11840843590988755
valence,3.0_a,12871,969,0.6329353385925776,0.1497891331223654
valence,6.0_a,12162,1678,0.6730617481422697,-0.10526925083667187
valence,11.0_b,12777,1063,0.18696168048274234,0.09360155518007826
valence,5.0_b,13006,834,0.07568457656911046,-0.15811453747971907
valence,14.0_a,12641,1199,0.7484977076380361,-0.34534661954048573
valence,10.0_b,12048,1792,0.17179380853215911,0.05393433019260681
valence,1.0_b,12777,1063,0.11783335310879933,-0.03386938067537327
valence,13.0_a,11600,2240,0.6014583693965198,-0.04687946057302528
luminance,lum_006_4_a,3690,615,0.1705137347598351,-0.02704607927606217
luminance,lum_002_3_a,3690,615,0.522783500216031,-0.1030849911011084
luminance,lum_010_4_b,3690,615,0.14841223978346377,-0.15100557434007306
luminance,lum_007_3_b,3690,615,0.3792723415372637,-0.288852347076608
luminance,lum_003_3_a,3690,615,0.3972527131214394,-0.43763299972850705
luminance,lum_004_4_a,3690,615,0.5822395029767191,-0.40747546915878674
luminance,lum_009_3_b,3690,615,0.2256708711883491,0.03800911321151681
